"Result:CPU vUSN(2026-03-06 094524)_20260306_104633.csv"
"Save Time:2026-03-06 10:46:33"
"User Name:fraser.msusa"


"NE Type Name:vUSN"

"NE Names:CLOUDUSN;LMB_vUSN01"

"Function Subset Name:CPU performance measurement"

"Total 2,709 records"

"Start Time","Period (min)","NE Name","VM","CPU average usage (%)","CPU max usage (%)","CPU usage (%)"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0082","9","10","10"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0066","23","24","24"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0067","22","23","23"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0078","23","25","24"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0079","23","25","24"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0080","22","24","23"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0081","23","25","25"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0075","11","12","11"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0076","11","12","12"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0068","31","33","32"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0069","30","32","31"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0077","30","31","31"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_P_0072","15","16","16"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_P_0073","16","17","16"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=LLG_USN01_OMU_0","15","23","16"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=LLG_USN01_OMU_1","17","22","18"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0064","42","43","43"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0065","39","40","40"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0074","27","28","28"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0070","10","11","11"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0071","10","11","10"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0082","9","11","10"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0066","24","25","25"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0067","22","23","23"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0078","24","25","25"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0079","24","25","25"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0080","23","24","24"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0081","24","25","25"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0075","11","12","12"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0076","11","12","12"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0068","32","33","33"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0069","31","32","31"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0077","30","31","31"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_P_0072","15","17","16"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_P_0073","16","17","17"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=LLG_USN01_OMU_0","14","17","16"
"2026-03-01 04:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=LLG_USN01_OMU_1","17","22","18"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0068","33","35","35"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0074","28","29","29"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0070","10","12","12"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0071","10","11","11"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0082","10","11","11"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0066","25","28","28"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0067","24","27","27"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0078","26","29","29"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0079","26","29","29"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0080","24","28","28"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0081","26","29","29"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0075","11","12","12"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0076","11","12","12"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0064","44","49","49"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0069","32","34","34"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0077","31","34","34"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_P_0072","17","19","19"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_P_0073","18","20","20"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=LLG_USN01_OMU_0","14","16","15"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=LLG_USN01_OMU_1","17","19","19"
"2026-03-01 05:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0065","40","43","43"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0064","51","54","53"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0065","43","45","44"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0074","29","31","31"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0070","11","13","13"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0071","11","12","12"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0082","11","12","12"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0066","29","32","32"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0067","28","30","30"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0078","30","33","33"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0079","30","33","33"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0080","28","31","31"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0081","30","32","32"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0075","11","12","11"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0076","11","12","12"
"2026-03-01 06:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0068","36","38","38"
